wallet,allocation
0x8e8954be3c8b724fcd532a0730fc9d5313bbd23a,large_collector
0xbaa5853d6d4da05e57a4aa108de55dbe5c769545,large_collector
0x07c2af75788814ba7e5225b2f5c951ed161cb589,large_collector
0xe51f06eb0fac25646f793e9c043245148ef36056,large_collector
0x1f0b28f7182e0a2be93507c2b83e0efa2c61dcfa,large_collector
0x8c0ff426dfa77a87be3729456d1d27fdc8f2de5f,large_collector
0xe052113bd7d7700d623414a0a4585bcae754e9d5,large_collector
0x9ad85d7c0f7eff3d0718c3a3a032557558f7048b,large_collector
0xd8b11e3093b6fc08b271d41e7f3dcaf02a66e6b7,large_collector
0x443fad4c2ea59e9d24c083be0841cee1fbf6a85e,large_collector
0x726cdc837384a7deb8bbea64beba2e7b4d7346c0,large_collector
0x083cf6d6fcf2e42b47976c236f3d0d6f15423019,large_collector
0x2f65b176b48c85c7a89ed509955817ee468fbff2,large_collector
0x79758a8326b2ee06c7baf0f075f461367a0b8e32,large_collector
0x7cbeab8adc6ce442b5640592134af57eef4bb5a5,large_collector
0x7ee84e6fa0d1199a6527f4de8f0e26b8bdd93ef3,large_collector
0x3460fb6fec6e51c4315e2e799b4f3e1810f75901,large_collector
0x8edbcff3e9cbba5b4e584a1fe9f8663ca9936d91,large_collector
0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,large_collector
0xc3023ff1771394c8a37f6d75fb0dc152112e74ab,large_collector
0x14ce500a86f1e3ace039571e657783e069643617,large_collector
0x4c1fbd894a1725e4397a7c3ed5be899f2ec5e9c2,large_collector
0x813c55c753d3108b9ea2bd0ea77b33e664506e3c,large_collector
0xa4407ecacc5f762eeee7eb7a425a8368fc68c0ce,large_collector
0x02332a565a2940a6483d7db9ec5a5e8226870c59,large_collector
0x6a42c6821013a7998cf42871a6efbd5d234b6d5b,large_collector
0x38b6b4387ff2776678e2b42f5eb2af4a452177d7,large_collector
0x4cc0b3e6f13a91b7c96a20d5b2451ee31d92e37d,large_collector
0x34383a9f83c86eceb3748fb89fd9be2805c8b02c,large_collector
0x2975083a05c8ab082e93c9d78fad9d8d8569bce2,large_collector
0x3e099af007cab8233d44782d8e6fe80fecdc321e,large_collector
0x60684bb466fdff1202ef427cda2a40e256b79d06,general_holder
0xd09b4f164958ab91aff5d0ea90f2ef311320e84a,general_holder
0x7c00c9f0e7aed440c0c730a9bd9ee4f49de20d5c,general_holder
0xa11cd9e04dc406d6b9ad0c14440afa5bb43d2136,general_holder
0xb69902082f133ac170504402fc018075b7e98885,general_holder
0x7696a27e0e266e5a5b62aa9521a7061484bc0452,general_holder
0xac832857ace7bbe40d94987c76f985f8d6fa0038,general_holder
0x2d60c8c081a7ebf0b5ff81e0c738be42ded63931,general_holder
0xe38dae19dc781201ee4b312e699cf9cfd31ba28a,general_holder
0x60805863de743939f7c2a9a261671643be66cb45,general_holder
0x60684bb466fdff1202ef427cda2a40e256b79d06,general_holder
0x514c9c0f1bc120f57183bfe4ae092ff0be13a31f,general_holder
0x8c646af13f0e5025ae520b8cab3c605ddd4f9f6b,general_holder
0xc6b2c9eef42e1d3855a2e139f55060f574ce359d,general_holder
0x105be89d26f718b27971d1f2f2a4f082752fed4e,general_holder
0xbdff1ba0b06c94f4b447bb4f8d717c2455ba83a7,general_holder
0x60684bb466fdff1202ef427cda2a40e256b79d06,general_holder
0xf47813a4595c86595311f3dc5bda053ff5b2e6da,general_holder
0x39e6e8f6938a819d52be235ff9dd5fdf0a8a422d,general_holder
0xa671b4566810f22cc67ff7c52e6f7c0959880af8,general_holder
0x6bdac4f8dfda978b26df826ae4ef57f6d3b4f6b7,general_holder
0x9d6d6c8f6c138a7c60df5e7aba5fc2d1557cb01c,general_holder
0x5fe497271cb5ddbea7ce9d3892b5f21a84f4eeef,general_holder
0x17410ac8e1e7c0296d3d1ee82c2bce9cf5250a5c,general_holder
0x62dd369d50d91f9b53acf356bd6b6432d48754bd,general_holder
0xf18ac3fc6e3817b8fd6467f6d63a84fdd433626b,quest
0x269d89631ba588a6994bf5a0dccb2a86573781fc,quest
0xed7498205d0a522528210f963f4bf8e5752df98f,quest
0x1d4c3b9f8f49d6ac44e398f766f520a3cdb0f3d5,quest
0x91c242be080de00884cfd8190b1481050f8d7b65,quest
0x37d1431d5d423d66ad6f369ef1bb0767e71a8400,quest
0x3e18b56e65ccb82ac6e81a0c18071d1dd644b65b,quest
0x74307301ee4af8341457f353996f64df8a382362,quest
0x00bd256b2730fe6e9d523209919b83b806290a3a,quest
0xde06446e2ab1ea7fccca0828e5029b7920aa6bcf,quest
0xe407d650db255a3f1509e6abb2a254f28993526c,quest
0xe50afee4482e3805c65265748bd99293203f2728,quest
0x4fb2d7d74200bcdbca1157ffa047e8248631d73b,quest
0xa0fa8f171949430bfb221f8204cf74f659a1e690,quest
0x54cbed7426d698ba5de35ff553bc160216a43c4a,quest
0xaa8ebf7eb2f362148293bea3c1c11aeb34d8dcb3,quest
0xe50afee4482e3805c65265748bd99293203f2728,quest
0x188664a3fd1eaf75b0e87ee558fbada4aa92c372,quest
0x17d6c8f47293226462d930baa4f50db6760e5975,quest
0x701a87fc6ffbb697caac3a48a49bc1fc951d1781,quest
0x4fb2d7d74200bcdbca1157ffa047e8248631d73b,quest
0xa93ff05d277d896d10a4172c2dc19d70730e8bdc,quest
0xb6aa2932e1aa279f5da11c4450683bad037f2486,quest
0x4fb2d7d74200bcdbca1157ffa047e8248631d73b,quest
0x269d89631ba588a6994bf5a0dccb2a86573781fc,quest
0x3abb39e26b8cebb1ccde5d12844e5428b930781b,quest
0x2c538df2338342037339965c4a97f07a95e4cf38,quest
0x2bbbdd004556521a49021934c6fe8a137ee6e078,quest
0x69ec014c15baf1c96620b6ba02a391ababb9c96b,quest
0xa83fa9c834bb5abe25f9c56eb5845b3203df94f2,quest
0x91c242be080de00884cfd8190b1481050f8d7b65,quest
0x2c538df2338342037339965c4a97f07a95e4cf38,quest
0x232e02988970e8ab920c83964cc7922d9c282dca,quest
0xc9dc117cac30314fb58f7bc38107a2d36855f71d,quest
0x3eaf5182b70fb29f27e89f3e1d78f8c5063ae99d,quest
0x0902c3ef4f176db48c4e340eb861b22759c334d7,quest
0xc9dc117cac30314fb58f7bc38107a2d36855f71d,quest
0x24c57556a3f8cdc2cced63ac531ebc9ff234fff2,quest
0x4644a9afe25b01405b9099c32fbf123f919d4838,quest
